Organism Name,Query Cover,E value,Percent_identity
Klebsiella pneumoniae,100%,0,100
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella pneumoniae,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella sp. P1CD1,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella pneumoniae,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella pneumoniae,100%,0,99.86
Klebsiella variicola,100%,0,99.86
uncultured Klebsiella sp.,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella sp. 2009I3,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.86
Klebsiella variicola subsp. variicola,100%,0,99.86
Klebsiella variicola,100%,0,99.79
Klebsiella variicola,100%,0,99.79
Klebsiella variicola,100%,0,99.79
Klebsiella pneumoniae,100%,0,99.79
Klebsiella variicola subsp. variicola,100%,0,99.79
Klebsiella variicola,100%,0,99.79
Klebsiella variicola subsp. variicola,100%,0,99.79
Klebsiella variicola,100%,0,99.79
Klebsiella variicola,100%,0,99.79
Klebsiella variicola subsp. variicola,100%,0,99.79
Klebsiella variicola subsp. variicola,100%,0,99.79
Klebsiella pneumoniae,100%,0,99.79
Klebsiella variicola subsp. variicola,100%,0,99.79
Klebsiella variicola subsp. variicola,100%,0,99.79
