Organism Name,Max Score,Total Score,Query Cover,E value,Percent identity,Acc. Len
Klebsiella pneumoniae,2641,2641,100%,0,100,1430
Klebsiella variicola,2628,20937,100%,0,99.86,5567637
Klebsiella variicola,2628,20931,100%,0,99.86,5508387
Klebsiella variicola,2628,20931,100%,0,99.86,5567637
Klebsiella pneumoniae,2628,2628,100%,0,99.86,1474
Klebsiella variicola,2628,20931,100%,0,99.86,5565920
Klebsiella variicola,2628,20931,100%,0,99.86,5567937
Klebsiella variicola,2628,20909,100%,0,99.86,5564478
Klebsiella variicola subsp. variicola,2628,20887,100%,0,99.86,5729161
Klebsiella variicola,2628,20948,100%,0,99.86,5633948
Klebsiella variicola,2628,20820,100%,0,99.86,5525083
Klebsiella variicola subsp. variicola,2628,20898,100%,0,99.86,5571553
Klebsiella variicola subsp. variicola,2628,20870,100%,0,99.86,5631658
Klebsiella variicola,2628,20970,100%,0,99.86,5583188
Klebsiella variicola,2628,20937,100%,0,99.86,5533215
Klebsiella variicola,2628,20937,100%,0,99.86,5568703
Klebsiella variicola subsp. variicola,2628,20937,100%,0,99.86,5606187
Klebsiella variicola,2628,20986,100%,0,99.86,5507554
Klebsiella variicola subsp. variicola,2628,20920,100%,0,99.86,5451076
Klebsiella variicola subsp. variicola,2628,20931,100%,0,99.86,5479692
Klebsiella variicola subsp. variicola,2628,20898,100%,0,99.86,5473564
Klebsiella variicola subsp. variicola,2628,20914,100%,0,99.86,5467149
Klebsiella variicola subsp. variicola,2628,20937,100%,0,99.86,5528004
Klebsiella variicola subsp. variicola,2628,20903,100%,0,99.86,5485357
Klebsiella variicola,2628,20870,100%,0,99.86,5599927
Klebsiella sp. P1CD1,2628,18479,100%,0,99.86,5633647
Klebsiella variicola subsp. variicola,2628,20942,100%,0,99.86,5465121
Klebsiella variicola,2628,20937,100%,0,99.86,5567341
Klebsiella variicola subsp. variicola,2628,20909,100%,0,99.86,5476043
Klebsiella variicola,2628,21031,100%,0,99.86,5466516
Klebsiella variicola,2628,20791,100%,0,99.86,5434345
Klebsiella variicola,2628,2628,100%,0,99.86,1460
Klebsiella variicola subsp. variicola,2628,20948,100%,0,99.86,5395428
Klebsiella variicola subsp. variicola,2628,20853,100%,0,99.86,5498281
Klebsiella variicola,2628,20903,100%,0,99.86,5484033
Klebsiella variicola,2628,20903,100%,0,99.86,5641239
Klebsiella variicola subsp. variicola,2628,20920,100%,0,99.86,5478915
Klebsiella variicola,2628,2628,100%,0,99.86,1501
Klebsiella variicola subsp. variicola,2628,20853,100%,0,99.86,5499779
Klebsiella variicola,2628,20920,100%,0,99.86,5599366
Klebsiella variicola subsp. variicola,2628,20870,100%,0,99.86,5557728
Klebsiella variicola,2628,21003,100%,0,99.86,5517301
Klebsiella variicola subsp. variicola,2628,20981,100%,0,99.86,5338718
Klebsiella variicola subsp. variicola,2628,20953,100%,0,99.86,5542550
Klebsiella variicola subsp. variicola,2628,20970,100%,0,99.86,5525875
Klebsiella variicola,2628,21025,100%,0,99.86,5511705
Klebsiella variicola subsp. variicola,2628,20964,100%,0,99.86,5531309
Klebsiella variicola,2628,2628,100%,0,99.86,1453
Klebsiella variicola subsp. variicola,2628,20925,100%,0,99.86,5561288
Klebsiella variicola,2628,20937,100%,0,99.86,5568837
Klebsiella variicola subsp. variicola,2628,20937,100%,0,99.86,5564192
Klebsiella pneumoniae,2628,2628,100%,0,99.86,1435
Klebsiella variicola,2628,20914,100%,0,99.86,5560511
Klebsiella variicola,2628,20970,100%,0,99.86,5614214
Klebsiella variicola subsp. variicola,2628,20937,100%,0,99.86,5745911
Klebsiella variicola subsp. variicola,2628,20898,100%,0,99.86,5726353
Klebsiella variicola subsp. variicola,2628,20937,100%,0,99.86,5521194
Klebsiella variicola,2628,20909,100%,0,99.86,5521203
Klebsiella variicola,2628,2628,100%,0,99.86,1550
Klebsiella variicola subsp. variicola,2628,21031,100%,0,99.86,5515756
Klebsiella pneumoniae,2628,2628,100%,0,99.86,1454
Klebsiella variicola,2628,20848,100%,0,99.86,5425242
uncultured Klebsiella sp.,2628,2628,100%,0,99.86,1501
Klebsiella variicola,2628,20307,100%,0,99.86,5490142
Klebsiella variicola,2628,20931,100%,0,99.86,5570028
Klebsiella variicola subsp. variicola,2628,20937,100%,0,99.86,5465346
Klebsiella variicola,2628,20815,100%,0,99.86,5465060
Klebsiella variicola,2628,20925,100%,0,99.86,5527445
Klebsiella variicola,2628,21025,100%,0,99.86,5511705
Klebsiella variicola,2628,20920,100%,0,99.86,5768342
Klebsiella variicola,2628,20903,100%,0,99.86,5500654
Klebsiella variicola,2628,2628,100%,0,99.86,1505
Klebsiella variicola,2628,20870,100%,0,99.86,5600718
Klebsiella variicola,2628,18258,100%,0,99.86,5268184
Klebsiella variicola subsp. variicola,2628,20925,100%,0,99.86,5562745
Klebsiella variicola subsp. variicola,2628,20948,100%,0,99.86,5418492
Klebsiella sp. 2009I3,2628,2628,100%,0,99.86,1493
Klebsiella variicola subsp. variicola,2628,20881,100%,0,99.86,5622595
Klebsiella variicola,2628,20870,100%,0,99.86,5600717
Klebsiella variicola subsp. variicola,2628,20909,100%,0,99.86,5524076
Klebsiella variicola,2628,20948,100%,0,99.86,5472494
Klebsiella variicola subsp. variicola,2628,20837,100%,0,99.86,5426211
Klebsiella variicola,2628,20892,100%,0,99.86,5662860
Klebsiella variicola,2628,20937,100%,0,99.86,5568836
Klebsiella variicola,2628,2628,100%,0,99.86,1476
Klebsiella variicola subsp. variicola,2628,20809,100%,0,99.86,5601393
Klebsiella variicola,2625,2625,100%,0,99.79,1460
Klebsiella variicola,2625,20876,100%,0,99.79,5501013
Klebsiella variicola,2625,2625,100%,0,99.79,1460
Klebsiella pneumoniae,2625,2625,100%,0,99.79,1505
Klebsiella variicola subsp. variicola,2623,20914,100%,0,99.79,5623467
Klebsiella variicola,2623,20865,100%,0,99.79,5533995
Klebsiella variicola subsp. variicola,2623,20859,100%,0,99.79,5530897
Klebsiella variicola,2623,20859,100%,0,99.79,5497837
Klebsiella variicola,2623,2623,100%,0,99.79,1502
Klebsiella variicola subsp. variicola,2623,20909,100%,0,99.79,5454094
Klebsiella variicola subsp. variicola,2623,20925,100%,0,99.79,5560656
Klebsiella pneumoniae,2623,20776,100%,0,99.79,5230001
Klebsiella variicola subsp. variicola,2623,20820,100%,0,99.79,5527376
Klebsiella variicola subsp. variicola,2623,20909,100%,0,99.79,5498455
